address,amenities,lat,link,lon,name,price,prize_range,size,tenure
"Jalan Sri Hartamas 17, Taman Sri Hartamas, 50480 S, 50480, K...","Studio Bedroom(s),1 Bathroom(s)",3.164019,https://www.iproperty.com.my/property/dorchester-apartment-sri-hartamas-5324828,101.655657,"Dorchester Apartment, Sri Hartamas","RM 340,000",High,410 sq. ft.,Freehold
"No. 3, Persiaran Meranti, PJU 9,, 41050, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.187044,https://www.iproperty.com.my/property/sd-apartments-ii-bandar-sri-damansara-5518387,101.603204,"Sd Apartments Ii, Bandar Sri Damansara","RM 308,000",High,800 sq. ft.,Freehold
"Jln Kuchai Jaya 1, Taman Kuchai Jaya, 58200, Kuala Lumpur","1 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",3.091627,https://www.iproperty.com.my/property/spring-avenue-kuchai-lama-5466541,101.685567,"Spring Avenue, Kuchai Lama","RM 370,000",High,538 sq. ft.,Freehold
"Jalan Sri Ehsan 1 off lebuh raya selayang, 52100, Kuala Lump...","3 Bedroom(s),3 Bathroom(s),1 Parking Bay(s)",3.212559,https://www.iproperty.com.my/property/apartment-ria-kepong-4976094,101.627523,"Apartment Ria, Kepong","RM 340,000",High,916 sq. ft.,Freehold
"Jalan Puchong, Off Old Klang Road, 58200, Kuala Lumpur","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.068471,https://www.iproperty.com.my/property/oug-parklane-old-klang-road-5509122,101.656483,"Oug Parklane, Old Klang Road","RM 350,000",High,950 sq. ft.,Freehold
"Jalan Subang 1, 47600, Selangor","1+2 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.054587,https://www.iproperty.com.my/property/casa-subang-subang-jaya-5477190,101.594824,"Casa Subang, Usj1, Subang Jaya","RM 315,000",High,682 sq. ft.,Freehold
"No. 4, Jalan Sri Jati 3, Taman Sri Jati, 58200 Jal, 58200, K...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.075123,https://www.iproperty.com.my/property/pangsapuri-tulin-jalan-klang-lama-2003094,101.663766,"Pangsapuri Tulin, Jalan Klang Lama","RM 350,000",High,820 sq. ft.,Freehold
"Jalan Kelisa 2, 43500, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",2.951058,https://www.iproperty.com.my/property/kajang-parc-kajang-5164531,101.792093,"Kajang Parc, Kajang","RM 300,000",High,"1,023 sq. ft.",Freehold
"JLN SEJAHTERA 5/1 serdang heights, 43300, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.027944,https://www.iproperty.com.my/property/cahaya-villa-residence-seri-kembangan-3091071,101.690619,"Cahaya Villa Residence, Bukit Serdang, Seri K..","RM 350,000",High,875 sq. ft.,Freehold
"Jalan Penghulu, Bandar Mahkota Cheras , Selangor","3 Bedroom(s),2 Bathroom(s)",2.825768,https://www.iproperty.com.my/property/vista-mahkota-cheras-4801371,101.564402,"Vista Mahkota, Cheras South, Cheras","RM 320,000",High,868 sq. ft.,Freehold
