address,amenities,lat,link,lon,name,price,prize_range,size,tenure
"Bandar Puchong Jaya, 47100, 47100, Selangor","3 Bedroom(s),2 Bathroom(s)",3.051681,https://www.iproperty.com.my/property/sri-teratai-apartment-puchong-5551108,101.623906,"Sri Teratai Apartment, Puchong","RM 290,000",Low,800 sq. ft.,Freehold
"Gombak, Batu Caves, Selangor, 68100, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.236516,https://www.iproperty.com.my/property/amara-boulevard-and-service-residences-batu-caves-5569781,101.681651,"Amara Boulevard And Service Residences, Batu ..","RM 295,000",Low,829 sq. ft.,Freehold
"Jalan Penggawa, 43200, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.057145,https://www.iproperty.com.my/property/pangsapuri-angsana-bandar-mahkota-cheras-cheras-5216981,101.779332,"Pangsapuri Angsana Bandar Mahkota Cheras, Ban..","RM 228,000",Low,745 sq. ft.,Freehold
"Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor","3 Bedroom(s),2 Bathroom(s)",3.105324,https://www.iproperty.com.my/property/seri-pinang-setia-alam-5572968,101.462881,"Seri Pinang, Shah Alam, Setia Alam","RM 288,000",Low,850 sq. ft.,Freehold
"Prima Saujana Permai, 43000, Selangor","3 Bedroom(s),2 Bathroom(s)",3.01258,https://www.iproperty.com.my/property/pangsapuri-saujana-permai-kajang-4486031,101.811356,"Pangsapuri Saujana Permai, Mutiara Height, Ka..","RM 300,000",Low,"1,001 sq. ft.",Freehold
"Jalan Batu Unjur 8, Taman Bayu Perdana, 41200, Selangor","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.017258,https://www.iproperty.com.my/property/vista-indah-klang-5420002,101.428507,"Vista Indah, Taman Bayu Perdana, Klang","RM 240,000",Low,950 sq. ft.,Freehold
Selangor,"4 Bedroom(s),3 Bathroom(s),2 Parking Bay(s)",2.947441,https://www.iproperty.com.my/property/1-sty-terrace-link-house-semenyih-5515993,101.845144,"Bandar Tasik Kesuma, Semenyih","RM 288,000",Low,"1,540 sq. ft.",Freehold
"Jalan Tk 2/13 Taman Kinrara Section 2 , Selangor","2 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.04629,https://www.iproperty.com.my/property/taman-kinrara-section-2-apartment-bandar-kinrara-5424025,101.601276,"Taman Kinrara Section 2 Apartment, Bandar Kin..","RM 199,000",Low,754 sq. ft.,Freehold
"Off Persiaran Jubli Perak in Seksyen 22, Selangor","1 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",,https://www.iproperty.com.my/property/alam-sanjung-shah-alam-5568643,,"Alam Sanjung, Subang West, Shah Alam","RM 184,000",Low,450 sq. ft.,Freehold
"Jalan Semenyih Off Jalan Bandar Rinching, Selangor","2 Bedroom(s),1 Bathroom(s),1 Parking Bay(s)",2.931817,https://www.iproperty.com.my/property/semenyih-service-residences-semenyih-4655195,101.854687,"Semenyih Service Residences, Semenyih, Kajang..","RM 220,000",Low,450 sq. ft.,Freehold
"Prima Saujana Permai, 43000, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.01258,https://www.iproperty.com.my/property/pangsapuri-saujana-permai-kajang-5212480,101.811356,"Pangsapuri Saujana Permai, Mutiara Height ,Ka..","RM 300,000",Low,"1,001 sq. ft.",Freehold
"No. 3 Jalan Anggerik Aranda 31/42, Section 31, 404, 40150, S...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",2.990024,https://www.iproperty.com.my/property/pangsapuri-sri-kemuning-shah-alam-5567762,101.549278,"Pangsapuri Sri Kemuning, Shah Alam","RM 198,000",Low,750 sq. ft.,Freehold
"Jalan Wawasan 2/3, Pusat Bandar Puchong,, 47100, Selangor","3+1 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.030188,https://www.iproperty.com.my/property/akasia-apartments-puchong-5562429,101.619821,"Akasia Apartments, Puchong","RM 295,000",Low,830 sq. ft.,Freehold
"Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.127685,https://www.iproperty.com.my/property/seri-pinang-setia-alam-5548579,101.473513,"Seri Pinang, Shah Alam, Setia Alam","RM 288,000",Low,850 sq. ft.,Freehold
"Jalan Setia Permai U13 40170 Shah Alam, 40170, Selangor","3 Bedroom(s),2 Bathroom(s),2 Parking Bay(s)",3.131539,https://www.iproperty.com.my/property/seri-pinang-setia-alam-5525922,101.467028,"Seri Pinang, Shah Alam, Setia Alam","RM 288,000",Low,850 sq. ft.,Freehold
"Desa Aman Puri, Kepong, 52100, Kuala Lumpur, 52100, Kuala Lu...","3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.210466,https://www.iproperty.com.my/property/desa-dua-apartment-kepong-5409274,101.615277,"Desa Dua Apartment, Kepong","RM 268,000",Low,837 sq. ft.,Freehold
Kuala Lumpur,"3 Bedroom(s),2 Bathroom(s),1 Parking Bay(s)",3.106845,https://www.iproperty.com.my/property/pangsapuri-kasturi-tiara-cheras-5447996,101.72592,"Pangsapuri Kasturi Tiara, Cheras","RM 245,000",Low,852 sq. ft.,Freehold
"Bandar Puchong Jaya, 47100, 47100, Selangor","3 Bedroom(s),2 Bathroom(s)",3.05104,https://www.iproperty.com.my/property/sri-teratai-apartment-puchong-5451527,101.633484,"Sri Teratai Apartment, Puchong","RM 296,000",Low,800 sq. ft.,Freehold
